Date;GDP
jan/90;0.2
fev/90;0.4
mar/90;0.8
abr/90;0.7
mai/90;0.8
jun/90;0.8
jul/90;0.9
ago/90;1.0
set/90;1.1
out/90;1.4
nov/90;1.7
dez/90;1.8
jan/91;2.1
fev/91;2.4
mar/91;2.5
abr/91;3.1
mai/91;3.6
jun/91;4.1
jul/91;4.6
ago/91;5.3
set/91;5.6
out/91;7.5
nov/91;9.2
dez/91;10.5
jan/92;13.1
fev/92;16.3
mar/92;19.6
abr/92;23.6
mai/92;30.1
jun/92;37.5
jul/92;46.1
ago/92;56.7
set/92;70.8
out/92;89.0
nov/92;110.4
dez/92;127.7
jan/93;164.0
fev/93;206.9
mar/93;294.6
abr/93;368.1
mai/93;481.6
jun/93;613.5
jul/93;841.4
ago/93;1,149.5
set/93;1,578.4
out/93;2,071.3
nov/93;2,792.8
dez/93;3,534.9
jan/94;4,562.8
fev/94;5,793.0
mar/94;8,520.4
abr/94;12,828.8
mai/94;20,504.2
jun/94;33,126.6
jul/94;40,788.0
ago/94;43,873.4
set/94;43,836.2
out/94;45,234.9
nov/94;45,926.2
dez/94;44,210.2
jan/95;47,028.6
fev/95;49,954.5
mar/95;60,024.3
abr/95;57,789.5
mai/95;56,350.5
jun/95;56,726.2
jul/95;58,788.1
ago/95;60,950.3
set/95;60,610.8
out/95;63,428.1
nov/95;67,762.9
dez/95;66,577.7
jan/96;64,133.3
fev/96;62,202.2
mar/96;62,987.8
abr/96;64,019.1
mai/96;69,488.7
jun/96;71,103.0
jul/96;74,969.9
ago/96;74,798.8
set/96;71,744.6
out/96;77,200.1
nov/96;80,449.1
dez/96;81,667.1
jan/97;77,582.6
fev/97;71,072.8
mar/97;70,461.6
abr/97;73,576.4
mai/97;78,110.8
jun/97;81,202.4
jul/97;82,058.7
ago/97;82,132.5
set/97;81,987.3
out/97;87,297.2
nov/97;85,390.1
dez/97;81,216.8
jan/98;79,363.9
fev/98;75,828.1
mar/98;80,508.7
abr/98;81,166.1
mai/98;85,207.5
jun/98;85,562.4
jul/98;86,938.5
ago/98;86,371.3
set/98;84,733.5
out/98;87,302.8
nov/98;86,316.5
dez/98;83,051.8
jan/99;80,936.3
fev/99;80,929.1
mar/99;88,802.6
abr/99;87,739.0
mai/99;89,223.0
jun/99;91,746.9
jul/99;91,230.4
ago/99;92,283.4
set/99;90,611.8
out/99;95,872.4
nov/99;99,563.1
dez/99;98,772.5
jan/00;92,576.6
fev/00;91,770.4
mar/00;92,579.9
abr/00;91,376.2
mai/00;98,727.0
jun/00;102,685.4
jul/00;103,410.4
ago/00;105,177.8
set/00;100,307.6
out/00;106,951.1
nov/00;107,678.0
dez/00;105,851.6
jan/01;102,530.7
fev/01;101,635.3
mar/01;108,303.8
abr/01;107,572.0
mai/01;111,202.2
jun/01;104,949.4
jul/01;110,758.9
ago/01;113,064.7
set/01;108,700.8
out/01;116,139.0
nov/01;117,882.0
dez/01;113,016.7
jan/02;112,374.8
fev/02;111,477.1
mar/02;118,444.7
abr/02;120,385.9
mai/02;123,552.5
jun/02;123,424.4
jul/02;126,856.6
ago/02;127,800.1
set/02;125,137.8
out/02;133,125.4
nov/02;135,966.6
dez/02;130,241.2
jan/03;125,711.1
fev/03;131,383.0
mar/03;140,147.5
abr/03;141,003.2
mai/03;140,058.2
jun/03;137,926.0
jul/03;144,626.0
ago/03;144,367.2
set/03;150,356.6
out/03;158,352.2
nov/03;154,756.8
dez/03;149,262.6
jan/04;142,458.5
fev/04;141,650.7
mar/04;160,674.2
abr/04;159,111.3
mai/04;160,113.8
jun/04;162,569.9
jul/04;168,215.1
ago/04;168,069.3
set/04;168,968.0
out/04;174,389.4
nov/04;178,016.0
dez/04;173,515.1
jan/05;161,645.2
fev/05;159,967.2
mar/05;178,097.9
abr/05;177,915.9
mai/05;178,126.3
jun/05;179,515.2
jul/05;181,671.6
ago/05;186,714.7
set/05;184,472.8
out/05;192,952.2
nov/05;196,416.4
dez/05;193,089.0
jan/06;181,703.8
fev/06;176,995.3
mar/06;195,571.4
abr/06;188,584.2
mai/06;198,732.6
jun/06;194,660.1
jul/06;203,497.8
ago/06;208,796.1
set/06;205,553.8
out/06;219,040.8
nov/06;220,983.2
dez/06;215,330.9
jan/07;206,665.4
fev/07;201,550.6
mar/07;223,206.9
abr/07;218,922.4
mai/07;227,533.9
jun/07;224,198.4
jul/07;230,915.0
ago/07;233,903.0
set/07;227,028.0
out/07;245,688.9
nov/07;243,269.5
dez/07;237,380.9
jan/08;232,828.5
fev/08;231,983.8
mar/08;247,243.0
abr/08;253,193.5
mai/08;255,741.0
jun/08;260,590.7
jul/08;271,286.3
ago/08;268,548.1
set/08;272,768.2
out/08;284,924.2
nov/08;272,113.4
dez/08;258,582.5
jan/09;244,784.2
fev/09;242,501.2
mar/09;268,841.6
abr/09;263,428.8
mai/09;268,742.3
jun/09;271,406.4
jul/09;281,459.6
ago/09;282,508.7
set/09;288,874.9
out/09;309,134.7
nov/09;307,944.4
dez/09;303,412.3
jan/10;284,389.3
fev/10;283,356.4
mar/10;318,651.7
abr/10;311,651.0
mai/10;315,947.5
jun/10;316,546.6
jul/10;328,891.3
ago/10;332,382.6
set/10;336,660.8
out/10;350,937.7
nov/10;358,427.1
dez/10;348,004.9
jan/11;327,590.9
fev/11;332,322.4
mar/11;356,617.3
abr/11;354,617.8
mai/11;368,272.7
jun/11;363,821.7
jul/11;367,333.1
ago/11;374,887.3
set/11;370,113.8
out/11;383,776.1
nov/11;391,537.9
dez/11;385,490.9
jan/12;364,190.6
fev/12;367,525.1
mar/12;397,758.4
abr/12;385,880.0
mai/12;401,862.3
jun/12;395,383.3
jul/12;409,021.0
ago/12;418,752.0
set/12;402,675.8
out/12;431,405.6
nov/12;426,600.5
dez/12;413,705.4
jan/13;408,889.7
fev/13;398,093.7
mar/13;434,630.2
abr/13;446,505.0
mai/13;441,335.3
jun/13;434,739.6
jul/13;452,597.5
ago/13;453,781.6
set/13;447,754.9
out/13;475,713.6
nov/13;470,324.8
dez/13;467,252.8
jan/14;453,279.1
fev/14;455,501.7
mar/14;477,200.3
abr/14;479,721.0
mai/14;481,273.5
jun/14;461,327.2
jul/14;486,905.2
ago/14;483,778.7
set/14;491,441.5
out/14;508,969.3
nov/14;498,508.9
dez/14;501,046.5
jan/15;474,390.0
fev/15;466,745.0
mar/15;515,523.6
abr/15;497,109.5
mai/15;492,308.4
jun/15;490,551.9
jul/15;507,172.5
ago/15;501,393.3
set/15;499,662.4
out/15;521,320.3
nov/15;513,566.6
dez/15;516,043.4
jan/16;481,704.7
fev/16;490,480.0
mar/16;528,114.3
abr/16;520,856.4
mai/16;516,535.8
jun/16;521,658.0
jul/16;521,941.4
ago/16;530,770.2
set/16;524,458.9
out/16;539,731.7
nov/16;546,119.8
dez/16;546,957.0
jan/17;513,860.2
fev/17;510,869.9
mar/17;560,943.3
abr/17;537,636.7
mai/17;551,003.6
jun/17;542,089.3
jul/17;548,413.0
ago/17;555,965.7
set/17;544,256.6
out/17;568,791.9
nov/17;573,979.4
dez/17;577,669.5
jan/18;552,626.4
fev/18;540,004.3
mar/18;589,452.3
abr/18;587,663.9
mai/18;562,131.4
jun/18;584,303.7
jul/18;592,251.5
ago/18;599,049.9
set/18;576,554.3
out/18;612,238.2
nov/18;607,713.0
dez/18;600,152.0
jan/19;578,674.3
fev/19;576,573.4
mar/19;602,305.7
abr/19;613,527.6
mai/19;615,875.9
jun/19;597,357.7
jul/19;632,236.2
ago/19;629,560.0
set/19;618,814.1
out/19;649,628.5
nov/19;638,047.3
dez/19;636,530.2
jan/20;613,947.6
fev/20;618,304.5
mar/20;635,842.5
abr/20;567,626.4
mai/20;577,737.2
jun/20;607,360.0
jul/20;643,950.6
ago/20;637,405.0
set/20;647,967.9
out/20;673,364.2
nov/20;680,136.5
dez/20;705,954.7
jan/21;678,628.6
fev/21;707,202.8
mar/21;770,838.7
abr/21;738,431.9
mai/21;731,611.7
jun/21;733,595.3
jul/21;766,243.4
ago/21;767,448.2
set/21;762,159.4
out/21;773,510.2
nov/21;788,324.3
dez/21;794,147.6
jan/22;724,702.2
fev/22;753,050.0
mar/22;841,776.0
abr/22;832,504.8
mai/22;842,025.6
jun/22;842,951.1
jul/22;869,487.3
ago/22;873,758.9
set/22;857,935.7
out/22;880,721.2
nov/22;880,510.1
dez/22;880,253.9
jan/23;812,574.7
fev/23;831,266.4
mar/23;938,864.6
abr/23;904,791.9
mai/23;903,238.1
jun/23;893,074.9
jul/23;911,553.5
ago/23;923,374.4
set/23;906,033.5
out/23;943,967.2
nov/23;950,501.0
dez/23;936,872.1
jan/24;875,592.8
fev/24;886,081.6
mar/24;952,242.4
abr/24;977,372.0
mai/24;954,779.1
jun/24;952,995.6
jul/24;987,472.6
Source;BCB-Depec
